140,Lawrence Cager (NYG),3,4,27,9.0,10,0,1,0,0,0,0,6,8.7,1.5,0.0%
141,Xavier Hutchinson (HOU),2,4,43,21.5,34,2,0,4,44,0,0,10,8.7,0.9,0.0%
142,Samori Toure (GB),5,11,62,12.4,35,2,0,0,0,0,0,7,8.2,1.2,0.1%
143,Sterling Shepard (NYG),7,16,39,5.6,13,0,1,0,0,0,1,11,7.9,0.7,0.2%
144,Julio Jones (PHI),5,8,16,3.2,8,0,1,0,0,0,0,5,7.6,1.5,2.4%
145,Isaiah McKenzie (IND),11,14,82,7.5,30,2,0,3,14,0,1,11,7.6,0.7,0.3%
146,Ihmir Smith-Marsette (CAR),1,1,14,14.0,14,0,0,0,0,0,0,11,7.4,0.7,0.0%
147,Cedric Tillman (CLE),7,14,65,9.3,23,1,0,1,8,0,0,8,7.3,0.9,0.6%
148,Simi Fehoko (LAC),1,2,9,9.0,9,0,1,0,0,0,0,5,6.9,1.4,0.0%
149,Jamal Agnew (JAC),9,12,90,10.0,14,0,0,4,-2,0,1,8,6.8,0.9,0.2%
150,Charlie Jones (CIN),1,2,6,6.0,6,0,0,0,0,0,0,5,6.6,1.3,0.1%
151,Jalen Brooks (DAL),5,5,63,12.6,24,1,0,0,0,0,0,5,6.3,1.3,0.0%
152,Rakim Jarrett (TB),4,9,60,15.0,41,3,0,1,0,0,0,10,6.0,0.6,0.0%
153,DeAndre Carter (LV),3,6,36,12.0,16,0,0,3,18,0,0,12,5.4,0.5,0.1%
154,Trent Sherfield (BUF),7,13,53,7.6,9,0,0,0,0,0,0,12,5.3,0.4,0.1%
155,Malik Heath (GB),5,10,53,10.6,16,0,0,0,0,0,0,7,5.3,0.8,0.0%
156,Demarcus Robinson (LAR),5,5,52,10.4,23,1,0,0,0,0,0,7,5.2,0.7,0.0%
157,Lynn Bowden Jr. (NO),1,4,12,12.0,12,0,0,2,40,0,0,9,5.2,0.6,0.0%
158,Mike Strachan (CAR),1,2,45,45.0,45,3,0,0,0,0,0,2,4.5,2.3,0.0%
159,Tim Jones (JAC),7,9,44,6.3,13,0,0,0,0,0,0,10,4.4,0.4,0.0%
160,Equanimeous St. Brown (CHI),4,5,44,11.0,21,1,0,0,0,0,0,4,4.4,1.1,0.1%
161,Marquise Goodwin (CLE),3,11,10,3.3,6,0,0,4,33,0,0,8,4.3,0.5,0.1%
162,Randall Cobb (NYJ),3,12,20,6.7,12,0,0,0,0,0,0,6,4.0,0.7,0.4%
163,Tyquan Thornton (NE),5,12,34,6.8,15,0,0,1,3,0,0,4,3.7,0.9,0.9%
164,Justyn Ross (KC),3,6,34,11.3,20,1,0,0,0,0,0,7,3.4,0.5,0.4%
165,Devin Duvernay (BAL),4,9,18,4.5,10,0,0,4,15,0,0,12,3.3,0.3,0.6%
166,David Bell (CLE),4,9,33,8.3,14,0,0,0,0,0,0,9,3.3,0.4,0.1%
167,Velus Jones Jr. (CHI),3,5,9,3.0,5,0,0,4,22,0,0,8,3.1,0.4,0.1%
168,Mecole Hardman Jr. (KC),9,13,47,5.2,12,0,0,1,3,0,1,8,3.0,0.4,2.6%
169,Alex Erickson (LAC),2,4,29,14.5,17,0,0,0,0,0,0,2,2.9,1.5,0.0%
170,Trishton Jackson (MIN),2,4,9,4.5,7,0,0,0,0,0,0,6,2.9,0.5,0.1%
171,Steven Sims Jr. (HOU),2,2,25,12.5,23,1,0,0,0,0,0,2,2.5,1.3,0.0%
172,Erik Ezukanma (MIA),0,1,0,0,0,0,0,5,22,0,0,2,2.2,1.1,0.0%
173,Jalen Reagor (NE),2,9,22,11.0,11,0,0,0,0,0,0,5,2.2,0.4,0.1%
174,Keith Kirkwood (NO),3,7,21,7.0,13,0,0,0,0,0,0,8,2.1,0.3,0.0%
175,Quez Watkins (PHI),4,5,21,5.3,9,0,0,0,0,0,0,3,2.1,0.7,0.3%
176,Jason Brownlee (NYJ),2,2,20,10.0,12,0,0,0,0,0,0,3,2.0,0.7,0.0%
177,Kayshon Boutte (NE),2,7,19,9.5,11,0,0,0,0,0,0,3,1.9,0.6,0.1%
178,Zach Pascal (ARI),4,11,19,4.8,9,0,0,0,0,0,0,9,1.9,0.2,0.0%
179,Jalen Nailor (MIN),1,1,16,16.0,16,0,0,0,0,0,0,4,1.6,0.4,0.0%
180,Marvin Jones Jr. (FA),5,10,35,7.0,16,0,0,0,0,0,1,6,1.5,0.3,0.7%
181,Malik Taylor (NYJ),2,4,13,6.5,7,0,0,0,0,0,0,3,1.3,0.4,0.0%
182,Miles Boykin (PIT),2,3,11,5.5,6,0,0,0,0,0,0,10,1.1,0.1,0.0%
183,Cody Thompson (SEA),1,1,10,10.0,10,0,0,0,0,0,0,6,1.0,0.2,0.0%
184,Willie Snead IV (SF),1,1,9,9.0,9,0,0,0,0,0,0,3,0.9,0.3,0.0%
185,Austin Trammell (LAR),4,7,29,7.3,14,0,0,0,0,0,1,9,0.9,0.1,0.0%
186,Dee Eskridge (SEA),0,1,0,0,0,0,0,2,5,0,0,4,0.5,0.1,0.0%
187,Kwamie Lassiter II (CIN),1,1,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
188,Antoine Green (DET),1,2,2,2.0,2,0,0,0,0,0,0,8,0.2,0.0,0.1%
189,Anthony Schwartz (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
190,Shi Smith (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
191,Amari Rodgers (FA),0,2,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
192,Jaylon Moore (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
193,David Sills (DEN),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
194,Ashton Dulin (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
195,Tyler Johnson (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
196,Stanley Morgan Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
197,Juwann Winfree (IND),0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
198,Keelan Doss (LAC),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
199,Quinton Bell (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
200,Andy Isabella (BUF),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
201,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
202,Tyron Billy-Johnson (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
203,Collin Johnson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
204,N'Keal Harry (MIN),0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
205,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
206,Kristian Wilkerson (LV),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
207,Scotty Washington (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
208,Tylan Wallace (BAL),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
209,Kirk Merritt (FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
210,Cody White (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
211,Freddie Swain (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
212,Seth Williams (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
213,Dez Fitzpatrick (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
214,Dan Chisena (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
215,Andre Baccellia (ARI),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
216,D.J. Montgomery (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
217,Mason Kinsey (TEN),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
218,Tyrie Cleveland (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
219,Marquez Callaway (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
220,KJ Hamler (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
221,Easop Winston Jr. (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
222,Quintez Cephus (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
223,Denzel Mims (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
224,Irvin Charles (NYJ),0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
225,Kendric Pryor (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
226,Rodney Williams (PIT),0,2,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
227,Kaden Davis (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
228,Lance McCutcheon (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
229,Raleigh Webb (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
230,Bryce Ford-Wheaton (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
231,Josh Ali (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
232,Daylen Baldwin (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
233,Maurice Alexander (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
234,Mitchell Tinsley (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
235,Britain Covey (PHI),0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.1%
236,Johnny Johnson III (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
237,Braylon Sanders (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
238,Jontre Kirklin (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
239,Derek Wright (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
240,Dareke Young (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
241,Devon Allen (PHI),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
242,Montrell Washington (KC),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
243,Jesse Matthews (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
244,Lucky Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
245,John Stephens Jr. (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
246,David Durden (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
