82,Payne Durham (TB),4,6,33,8.3,12,0,0,0,0,0,0,7,3.3,0.5,0.0%
83,Brycen Hopkins (LAR),3,4,31,10.3,21,1,0,0,0,0,0,10,3.1,0.3,0.0%
84,Elijah Higgins (ARI),3,6,28,9.3,26,1,0,0,0,0,0,6,2.8,0.5,0.0%
85,Jack Stoll (PHI),4,7,27,6.8,14,0,0,0,0,0,0,11,2.7,0.2,0.2%
86,Greg Dulcich (DEN),3,4,25,8.3,13,0,0,0,0,0,0,2,2.5,1.3,6.4%
87,Marcedes Lewis (CHI),2,3,24,12.0,16,0,0,0,0,0,0,11,2.4,0.2,0.0%
88,Nate Adkins (DEN),4,5,22,5.5,11,0,0,0,0,0,0,7,2.2,0.3,0.0%
89,Trevon Wesco (TEN),1,2,21,21.0,21,1,0,0,0,0,0,10,2.1,0.2,0.0%
90,Mitchell Wilcox (CIN),4,6,18,4.5,7,0,0,0,0,0,0,11,1.8,0.2,0.0%
91,Chris Manhertz (DEN),2,4,16,8.0,10,0,0,0,0,0,0,10,1.6,0.2,0.0%
92,Ben Sims (GB),2,3,14,7.0,12,0,0,0,0,0,0,10,1.4,0.1,0.0%
93,Charlie Kolar (BAL),1,2,13,13.0,13,0,0,0,0,0,0,8,1.3,0.2,0.1%
94,Ross Dwelley (SF),1,2,12,12.0,12,0,0,0,0,0,0,10,1.2,0.1,0.1%
95,Charlie Woerner (SF),1,1,9,9.0,9,0,0,0,0,0,0,11,0.9,0.1,0.0%
96,Davis Allen (LAR),1,1,6,6.0,6,0,0,0,0,0,0,9,0.6,0.1,0.0%
97,Jesper Horsted (LV),1,1,4,4.0,4,0,0,0,0,0,0,4,0.4,0.1,0.0%
98,Peyton Hendershot (DAL),1,2,3,3.0,3,0,0,1,0,0,0,3,0.3,0.1,0.1%
99,Giovanni Ricci (CAR),1,1,2,2.0,2,0,0,0,0,0,0,5,0.2,0.0,0.0%
100,Albert Okwuegbunam (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%
101,Jody Fortson (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,Dalton Keene (HOU),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
103,Stephen Carlson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,Zach Gentry (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
105,Noah Togiai (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,Parker Hesse (ATL),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
107,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
108,Mitchell Fraboni (DEN),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
109,Matthew Orzech (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,Nick Bowers (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,Feleipe Franks (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,Tommy Sweeney (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,Tyree Jackson (NYG),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
114,Lawrence Cager (NYG),3,4,27,9.0,10,0,1,0,0,0,0,6,0.0,0.0,0.0%
115,Tyler Mabry (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
116,Sean McKeon (DAL),0,2,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%
117,Tyler Davis (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
118,Reggie Gilliam (BUF),1,1,3,3.0,3,0,0,0,0,0,0,10,0.0,0.0,0.0%
119,Rashod Berry (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
120,Scotty Washington (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
