75,Nathan Rourke (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,Cephus Johnson III (TB),0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
77,Skylar Thompson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,Malik Cunningham (NE),0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.1%
79,Stetson Bennett (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
80,Max Duggan (LAC),0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
81,Aaron Rodgers (NYJ),0,1,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,16.8%
82,Ben Chappell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,Adam Froman (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,Erik Ainge (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,Hunter Cantwell (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
86,Case Keenum (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,David Blough (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,Joe Flacco (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
89,Josh Johnson (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,Brett Ratliff (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
91,Nick Mullens (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,Mason Rudolph (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,Logan Woodside (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,Nate Sudfeld (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
